num,variance
1,0.5091967634301332
2,0.3326276143730097
3,0.06769631301980306
4,0.027558892838531707
5,0.019091153785683216
6,0.01398735020357156
7,0.010508693549504703
8,0.005685910473963564
9,0.0033453151952563378
10,0.002914562586978393
11,0.0016301839866544791
12,0.0011087614700978157
13,0.0009140357276040799
14,0.0006987841640072169
15,0.0005985543197836235
16,0.0004929229281566214
17,0.0004883999512263469
18,0.0004108058765657264
19,0.00024539634456812413
20,0.0002000079872224892
21,0.00015666301091654924
22,0.00012369792642811627
23,9.759749819669029e-05
24,6.928904939317524e-05
25,4.5686266322173945e-05
26,3.296375138774765e-05
27,2.8833444306722856e-05
28,1.976412352358126e-05
29,1.692376983477024e-05
30,5.048114003489222e-06
31,2.9591003166272474e-06
32,1.517330483978017e-07
33,1.9000638203936522e-30
34,1.002371397918674e-30
35,6.756788383853537e-31
36,6.466617299932191e-31
37,6.104852632469549e-31
38,5.816253949007995e-31
39,5.674633201940946e-31
40,5.364805281879681e-31
41,5.255055667851591e-31
42,5.226546353791664e-31
43,5.163518164362384e-31
44,5.161726548908905e-31
45,5.160186229152876e-31
46,5.154100083922169e-31
47,5.139042532009781e-31
48,5.1211176674249555e-31
49,5.1002831102497605e-31
50,5.082884119402536e-31
51,5.0816972211713975e-31
52,5.077990722250368e-31
53,5.05923048026718e-31
54,5.047143199564766e-31
55,5.034340616849034e-31
56,4.98313512849744e-31
57,4.883961311086314e-31
58,4.745120317399285e-31
59,4.621111917066823e-31
60,4.4503182585570325e-31
61,3.8169725203090965e-31
62,3.579716706322611e-31
